001.txt
%	0.22062720232521374
,	0.005154639175257732
-	0.019891301832319193
.	0.020618556701030927
/	0.005229379225232552
/%	0.005694316384879861
06	0.031231410768317362
1	0.028471581924399306
180589	0.03940132056584909
1995	0.020326889029039345
2	0.023752641101959793
3	0.011549425089873317
4	0.03817933774135123
5	0.023098850179746635
6	0.014004680112499758
7	0.033608406878610816
8	0.035628961652939696
80	0.016760509108226622
83	0.009600497300258068
84	0.02227797987055341
88	0.01833192447692982
89	0.016414559645038285
9	0.04705176963005515
94	0.01833192447692982
98	0.024930418905758353
99	0.021569198820296016
:	0.015463917525773196
://	0.005229379225232552
A	0.05886263312293918
AB	0.01712334069529568
AC	0.01712334069529568
B	0.025104978042734576
BB	0.015172249853781612
BF	0.021569198820296016
E	0.0860984204195956
F	0.014891591173253897
ISBN	0.019262709248279414
Wikipedia	0.005154639175257732
[	0.0430492102097978
]	0.0430492102097978
http	0.005229379225232552
ja	0.005229379225232552
org	0.005229379225232552
wiki	0.005229379225232552
wikipedia	0.005229379225232552
|	0.006105281294522822
、	0.05154639175257732
。	0.020618556701030927
「	0.010309278350515464
」	0.010309278350515464
『	0.010309278350515464
』	0.010309278350515464
〔	0.43341452622434
〕	0.43341452622434
うち	0.04184426483560381
および	0.06068899941512645
が	0.010609756140819757
さ	0.006276244510683644
し	0.010309278350515464
する	0.019089668870675616
その	0.02761662672134772
た	0.010458758450465105
で	0.005229379225232552
と	0.010458758450465105
なお	0.014360181415706972
に	0.015463917525773196
の	0.06701030927835051
は	0.015463917525773196
もの	0.021538838537083372
より	0.005229379225232552
ら	0.019262709248279414
れ	0.006190271618175239
を	0.015463917525773196
アオダイショウ	0.03940132056584909
アカ	0.03424668139059136
ウィキペディア	0.005154639175257732
ウミガメ	0.1182039616975473
オオサンショウウオ	0.2364079233950946
カジカガエル	0.1182039616975473
カテゴリ	0.005229379225232552
カメ	0.03940132056584909
キシノウエトカゲ	0.03940132056584909
クサガメ	0.03940132056584909
シロヘビ	0.03940132056584909
セマルハコガメ	0.03940132056584909
データベース	0.031231410768317362
ナビゲーション	0.005154639175257732
フリー	0.005154639175257732
モリアオガエル	0.1182039616975473
リスト	0.049860837811516706
リュウキュウヤマガメ	0.03940132056584909
リンク	0.02003522135704776
